metric,count,first,last,slope,norm_slope,cv,converged
HL_avg_reward,50,-1.9676572074874852,-1.0994983367048778,0.0057032885475623695,0.0036557007241287865,0.17984667911070806,False
HL_avg_loss,50,0.0273426102939993,0.0257332952149833,-6.35699840672338e-05,-0.002357467388107602,0.050938411573706904,True
HL_epsilon,50,0.693,0.4235042469962753,-0.005479144907812311,-0.010008272540632501,0.1447306532671508,False
HL_reward_per_ep,100,-0.0017983499999999972,-0.022810890625000003,6.630601407015703e-05,0.12623247301041163,14.757547800433608,False
LL_avg_reward,50,-0.12263635,-0.123736024,0.00035410486088835685,0.002792889032385671,0.06955556437349754,True
LL_avg_loss,50,0.0967348887813541,0.1287595488131046,6.361161003240779e-05,0.0005147952802425741,0.054563233397900215,True
LL_epsilon,50,0.594,0.3630036402825217,-0.004696409920981984,-0.010008272510163787,0.1447306528265395,False
EVAL_avg_global_loss,11,2.0383411641304314,2.1048017180882965,0.002690069683781932,0.0012692243992941368,0.021257402258618923,True
